ASN,Name,Prefixes,Earliest,Latest
58224,TIC,1236,2025-12-30T08:00:00,2026-01-13T08:00:00
12880,DCI,75,2025-12-30T08:00:00,2026-01-13T08:00:00
197207,MCI,905,2025-12-30T08:00:00,2026-01-13T08:00:00
44244,Irancell,461,2025-12-30T08:00:00,2026-01-13T08:00:00
49666,TIC-GW,29,2025-12-30T08:00:00,2026-01-13T08:00:00
