ASN,Power,Type
198150,3887,left
216067,1426,left
286,176,left
29049,138447,left
3257,46388,left
33891,27906,left
3491,3853,left
34984,1335,left
39533,1415,left
5511,23254,left
6453,19049,left
6762,57102,left
12880,100115,right
197207,6284,right
202468,1,right
205647,11947,right
25184,14705,right
31549,5938,right
39200,261,right
41689,110322,right
42337,9507,right
42440,20145,right
44244,3412,right
47188,265,right
48159,12835,right
49832,3,right
57218,2419,right
58224,24913,right
