ASN,Name,Before (Sep 20),During (Sep 22),During (Sep 25),After (Oct 1)
58224,TIC,0,0,0,0
12880,DCI,0,0,0,0
197207,MCI,0,0,0,0
44244,Irancell,0,0,0,0
