ASN,Name,Prefixes,QueryTime
49666,TIC-GW,29,
58224,TIC,1236,
12880,DCI,75,
197207,MCI,905,
44244,Irancell,461,
31549,Shatel,184,
42337,Respina,723,
43754,Asiatech,323,
57218,Rightel,90,
